Name,Position,Country,DOB,Team
Cristiano Ronaldo,Centre-Forward,Portugal,"Feb 5, 1985",First Team
Raphaël Varane,Centre-Back,France,"Apr 25, 1993",First Team
Paul Pogba,Central Midfield,France,"Mar 15, 1993",First Team/Reserves Team/Youth Teams
Jadon Sancho,Left Winger,England,"Mar 25, 2000",First Team
Gerard Piqué,Centre-Back,Spain,"Feb 2, 1987",First Team
Casemiro,Defensive Midfield,Brazil,"Feb 23, 1992",First Team
David Beckham,Central Midfield,England,"May 2, 1975",First Team/Youth Teams
Ángel Di María,Right Winger,Argentina,"Feb 14, 1988",First Team
Juan Mata,Attacking Midfield,Spain,"Apr 28, 1988",First Team
Christian Eriksen,Central Midfield,Denmark,"Feb 14, 1992",First Team
Romelu Lukaku,Centre-Forward,Belgium,"May 13, 1993",First Team
Marcus Rashford,Left Winger,England,"Oct 31, 1997",First Team/Reserves Team/Youth Teams
Lisandro Martínez,Centre-Back,Argentina,"Jan 18, 1998",First Team
Bruno Fernandes,Attacking Midfield,Portugal,"Sep 8, 1994",First Team
Mason Mount,Attacking Midfield,England,"Jan 10, 1999",First Team
Wayne Rooney,Centre-Forward,England,"Oct 24, 1985",First Team/Reserves Team
David de Gea,Goalkeeper,Spain,"Nov 7, 1990",First Team
Bastian Schweinsteiger,Central Midfield,Germany,"Aug 1, 1984",First Team
Víctor Valdés,Goalkeeper,Spain,"Jan 14, 1982",First Team/Reserves Team
Radamel Falcao,Centre-Forward,Colombia,"Feb 10, 1986",First Team/Reserves Team
Anthony Martial,Centre-Forward,France,"Dec 5, 1995",First Team
Matthijs de Ligt,Centre-Back,Netherlands,"Aug 12, 1999",First Team
Antony,Right Winger,Brazil,"Feb 24, 2000",First Team
Zlatan Ibrahimović,Centre-Forward,Sweden,"Oct 3, 1981",First Team
Alexis Sánchez,Centre-Forward,Chile,"Dec 19, 1988",First Team
Harry Maguire,Centre-Back,England,"Mar 5, 1993",First Team
Carlos Tevez,Centre-Forward,Argentina,"Feb 5, 1984",First Team
Memphis Depay,Centre-Forward,Netherlands,"Feb 13, 1994",First Team/Reserves Team
Ryan Giggs,Left Midfield,Wales,"Nov 29, 1973",First Team/Youth Teams
Joshua Zirkzee,Centre-Forward,Netherlands,"May 22, 2001",First Team
Rasmus Højlund,Centre-Forward,Denmark,"Feb 4, 2003",First Team
Edinson Cavani,Centre-Forward,Uruguay,"Feb 14, 1987",First Team
Nani,Left Winger,Portugal,"Nov 17, 1986",First Team
Paul Scholes,Central Midfield,England,"Nov 16, 1974",First Team/Reserves Team/Youth Teams
Manuel Ugarte,Defensive Midfield,Uruguay,"Apr 11, 2001",First Team
Robin van Persie,Centre-Forward,Netherlands,"Aug 6, 1983",First Team/Reserves Team
Alex Telles,Left-Back,Brazil,"Dec 15, 1992",First Team
Owen Hargreaves,Defensive Midfield,England,"Jan 20, 1981",First Team/Reserves Team
Nemanja Vidic,Centre-Back,Serbia,"Oct 21, 1981",First Team
Wilfried Zaha,Left Winger,Cote d'Ivoire,"Nov 10, 1992",First Team/Reserves Team
Donny van de Beek,Central Midfield,Netherlands,"Apr 18, 1997",First Team
Kobbie Mainoo,Central Midfield,England,"Apr 19, 2005",First Team/Reserves Team/Youth Teams
Leny Yoro,Centre-Back,France,"Nov 13, 2005",First Team
Henrikh Mkhitaryan,Central Midfield,Armenia,"Jan 21, 1989",First Team
Luke Shaw,Left-Back,England,"Jul 12, 1995",First Team/Reserves Team
Rio Ferdinand,Centre-Back,England,"Nov 7, 1978",First Team
Fabien Barthez,Goalkeeper,France,"Jun 28, 1971",First Team
Jesse Lingard,Attacking Midfield,England,"Dec 15, 1992",First Team/Reserves Team/Youth Teams
Fred,Central Midfield,Brazil,"Mar 5, 1993",First Team
Michael Carrick,Defensive Midfield,England,"Jul 28, 1981",First Team/Reserves Team
Kléberson,Central Midfield,Brazil,"Jun 19, 1979",First Team
Alejandro Garnacho,Attacking Midfield,Argentina,"Jul 1, 2004",First Team/Reserves Team/Youth Teams
Mason Greenwood,Right Winger,England,"Oct 1, 2001",First Team/Reserves Team/Youth Teams
Anderson,Central Midfield,Brazil,"Apr 13, 1988",First Team/Reserves Team
Ron-Robert Zieler,Goalkeeper,Germany,"Feb 12, 1989",First Team/Reserves Team/Youth Teams
Roy Keane,Defensive Midfield,Ireland,"Aug 10, 1971",First Team
Patrice Evra,Left-Back,France,"May 15, 1981",First Team
Arnold Mühren,Left Midfield,Netherlands,"Jun 2, 1951",First Team
Eric Bailly,Centre-Back,Cote d'Ivoire,"Apr 12, 1994",First Team/Reserves Team
André Onana,Goalkeeper,Cameroon,"Apr 2, 1996",First Team
Marcel Sabitzer,Central Midfield,Austria,"Mar 17, 1994",First Team
Edwin van der Sar,Goalkeeper,Netherlands,"Oct 29, 1970",First Team/Reserves Team
Laurent Blanc,Centre-Back,France,"Nov 19, 1965",First Team
Ander Herrera,Central Midfield,Spain,"Aug 14, 1989",First Team
Ruud van Nistelrooy,Centre-Forward,Netherlands,"Jul 1, 1976",First Team
Diego Forlán,Centre-Forward,Uruguay,"May 19, 1979",First Team
Daley Blind,Centre-Back,Netherlands,"Mar 9, 1990",First Team
Morgan Schneiderlin,Defensive Midfield,France,"Nov 8, 1989",First Team
Michael Owen,Centre-Forward,England,"Dec 14, 1979",First Team
Nemanja Matic,Defensive Midfield,Serbia,"Aug 1, 1988",First Team
Marouane Fellaini,Central Midfield,Belgium,"Nov 22, 1987",First Team/Reserves Team
John Connelly,Right Winger,England,"Jul 18, 1938",First Team
Diogo Dalot,Right-Back,Portugal,"Mar 18, 1999",First Team/Reserves Team
Scott McTominay,Central Midfield,Scotland,"Dec 8, 1996",First Team/Reserves Team/Youth Teams
Aaron Wan-Bissaka,Right-Back,DR Congo,"Nov 26, 1997",First Team
Amad Diallo,Right Winger,Cote d'Ivoire,"Jul 11, 2002",First Team/Reserves Team
Antonio Valencia,Right-Back,Ecuador,"Aug 4, 1985",First Team/Reserves Team
Sergio Reguilón,Left-Back,Spain,"Dec 16, 1996",First Team
Ashley Young,Right-Back,England,"Jul 9, 1985",First Team/Reserves Team
Darren Fletcher,Central Midfield,Scotland,"Feb 1, 1984",First Team/Reserves Team/Youth Teams
Gary Neville,Right-Back,England,"Feb 18, 1975",First Team/Reserves Team/Youth Teams
Chicharito,Centre-Forward,Mexico,"Jun 1, 1988",First Team
Wes Brown,Centre-Back,England,"Oct 13, 1979",First Team/Reserves Team/Youth Teams
Marcos Rojo,Centre-Back,Argentina,"Mar 20, 1990",First Team/Reserves Team
Victor Lindelöf,Centre-Back,Sweden,"Jul 17, 1994",First Team
Sir Bobby Charlton,Attacking Midfield,England,"Oct 11, 1937",First Team/Youth Teams
Dimitar Berbatov,Centre-Forward,Bulgaria,"Jan 30, 1981",First Team
Nobby Stiles,Defensive Midfield,England,"May 15, 1942",First Team/Youth Teams
Anthony Elanga,Right Winger,Sweden,"Apr 27, 2002",First Team/Reserves Team/Youth Teams
Juan Sebastián Verón,Central Midfield,Argentina,"Mar 9, 1975",First Team
Peter Schmeichel,Goalkeeper,Denmark,"Nov 18, 1963",First Team
Danny Welbeck,Centre-Forward,England,"Nov 26, 1990",First Team/Reserves Team/Youth Teams
Louis Saha,Centre-Forward,France,"Aug 8, 1978",First Team
Noussair Mazraoui,Right-Back,Morocco,"Nov 14, 1997",First Team
Chris Smalling,Centre-Back,England,"Nov 22, 1989",First Team/Reserves Team
Nicky Butt,Defensive Midfield,England,"Jan 21, 1975",First Team/Youth Teams
Phil Jones,Centre-Back,England,"Feb 21, 1992",First Team/Reserves Team
Jonny Evans,Centre-Back,Northern Ireland,"Jan 3, 1988",First Team/Reserves Team/Youth Teams
Ji-sung Park,Attacking Midfield,"Korea, South","Feb 25, 1981",First Team
Henrik Larsson,Centre-Forward,Sweden,"Sep 20, 1971",First Team
Wout Weghorst,Centre-Forward,Netherlands,"Aug 7, 1992",First Team
Sofyan Amrabat,Defensive Midfield,Morocco,"Aug 21, 1996",First Team
Giuseppe Rossi,Centre-Forward,Italy,"Feb 1, 1987",First Team/Youth Teams
Michael Keane,Centre-Back,England,"Jan 11, 1993",First Team/Reserves Team/Youth Teams
Andreas Pereira,Attacking Midfield,Brazil,"Jan 1, 1996",First Team/Reserves Team/Youth Teams
Jaap Stam,Centre-Back,Netherlands,"Jul 17, 1972",First Team
Denis Irwin,Left-Back,Ireland,"Oct 31, 1965",First Team
Angel Gomes,Attacking Midfield,England,"Aug 31, 2000",First Team/Reserves Team/Youth Teams
Álvaro Carreras,Left-Back,Spain,"Mar 23, 2003",First Team/Reserves Team/Youth Teams
Jack Harrison,Right Winger,England,"Nov 20, 1996",Youth Teams
Daniel James,Right Winger,Wales,"Nov 10, 1997",First Team
Matteo Darmian,Right-Back,Italy,"Dec 2, 1989",First Team
Phil Neville,Right-Back,England,"Jan 21, 1977",First Team/Youth Teams
Mikaël Silvestre,Left-Back,France,"Aug 9, 1977",First Team
Rafael,Right-Back,Brazil,"Jul 9, 1990",First Team/Reserves Team/Youth Teams
Andy Cole,Centre-Forward,England,"Oct 15, 1971",First Team
Dwight McNeil,Left Winger,England,"Nov 22, 1999",Youth Teams
Patrick Dorgu,Left Midfield,Denmark,"Oct 26, 2004",First Team
John O'Shea,Centre-Back,Ireland,"Apr 30, 1981",First Team/Reserves Team
Ole Gunnar Solskjær,Centre-Forward,Norway,"Feb 26, 1973",First Team
Sam Johnstone,Goalkeeper,England,"Mar 25, 1993",First Team/Reserves Team/Youth Teams
Shinji Kagawa,Attacking Midfield,Japan,"Mar 17, 1989",First Team
Dwight Yorke,Centre-Forward,Trinidad and Tobago,"Nov 3, 1971",First Team
Viv Anderson,Right-Back,England,"Jul 29, 1956",First Team
Garry Birtles,Centre-Forward,England,"Jul 27, 1956",First Team
Tyrell Malacia,Left-Back,Netherlands,"Aug 17, 1999",First Team/Reserves Team
Jack Butland,Goalkeeper,England,"Mar 10, 1993",First Team
Dean Henderson,Goalkeeper,England,"Mar 12, 1997",First Team/Reserves Team/Youth Teams
James Garner,Defensive Midfield,England,"Mar 13, 2001",First Team/Reserves Team/Youth Teams
Chris Eagles,Right Winger,England,"Nov 19, 1985",First Team/Youth Teams
Danny Simpson,Right-Back,England,"Jan 4, 1987",First Team/Reserves Team/Youth Teams
Tomasz Kuszczak,Goalkeeper,Poland,"Mar 20, 1982",First Team/Reserves Team
